actors,actor_ids,genders,birthplaces,ages,movies,movie_ID
AJ Raval,2948828,1,"Manila, Philippines",23.0,"['Paglaki Ko, Gusto Kong Maging Pornstar', 'Death of a Girlfriend', 'Nerisa', 'Taya', 'Shoot Shoot!', 'Crush Kong Curly', 'Hugas', 'Kaliwaan', 'Sitio Diablo', 'Us X Her', 'Sugapa', 'Seksi: Pantasya at Pelikula']","[789474.0, 814082.0, 851274.0, 860306.0, 873486.0, 893685.0, 926612.0, 957691.0, 1007430.0, 1041896.0, 1135727.0, 1209764.0]"
Aaron Eckhart,6383,2,"Cupertino, California, USA",56.0,"['The Rum Diary', 'Rabbit Hole', 'Battle: Los Angeles', 'I, Frankenstein', 'Erased', 'Olympus Has Fallen', 'London Has Fallen', 'My All American', 'Bleed for This', 'Line of Duty', 'Sully', 'Incarnate', 'Midway', 'Wander', 'The Dark Knight Rises', 'The Fire Rises: The Creation and Impact of The Dark Knight Trilogy', 'Rumble Through the Dark', 'The Bricklayer', 'Muzzle', 'Chief of Station', 'Tom Hanks: The Nomad', 'Deep Water']","[23514.0, 27585.0, 44943.0, 100241.0, 106021.0, 117263.0, 267860.0, 334531.0, 332979.0, 346709.0, 363676.0, 241258.0, 522162.0, 646593.0, 49026.0, 243238.0, 844416.0, 927107.0, 939335.0, 1093995.0, 1128918.0, 619979.0]"
Aaron Moten,1386221,2,"Austin, Texas, USA",35.0,"['Ricki and the Flash', 'Ironwood', 'Native Son', 'The Transfiguration', 'Emancipation', 'Father Stu']","[275601.0, 517450.0, 512199.0, 392818.0, 715931.0, 809140.0]"
Aaron Paul,84497,2,"Emmett, Idaho, USA",44.0,"['Eye in the Sky', 'Wreckage', 'Smashed', 'A Long Way Down', 'Robot Chicken: DC Comics Special', 'Exodus: Gods and Kings', 'Need for Speed', 'Decoding Annie Parker', 'David Blaine: Real or Magic', 'No Half Measures: Creating the Final Season of Breaking Bad', 'Hellion', 'The 9th Life of Louis Drax', 'Weird: The Al Yankovic Story', 'Wasted', 'Unity', 'Fathers and Daughters', 'Triple 9', 'Central Intelligence', 'Come and Find Me', 'The Parts You Lose', 'Quirky Girl', 'American Woman', 'Welcome Home', 'El Camino: A Breaking Bad Movie', 'Dual', 'Adam', 'David Blaine: The Magic Way', 'Adele One Night Only', 'The Road to El Camino: Behind the Scenes of El Camino: A Breaking Bad Movie', 'Barely Legal Pawn']","[333352.0, 73085.0, 84341.0, 141043.0, 145174.0, 147441.0, 136797.0, 177047.0, 238466.0, 239459.0, 244536.0, 294795.0, 928344.0, 469928.0, 345323.0, 254172.0, 146198.0, 302699.0, 345918.0, 492613.0, 495132.0, 339976.0, 525460.0, 559969.0, 698128.0, 706260.0, 689106.0, 896633.0, 934809.0, 965386.0]"
Aaron Taylor-Johnson,27428,2,"High Wycombe, Buckinghamshire, England, UK",33.0,"['Kick-Ass', 'Chatroom', 'Savages', 'Kick-Ass 2', 'Anna Karenina', 'Avengers: Age of Ultron', 'Captain America: The Winter Soldier', 'Albert Nobbs', 'Nocturnal Animals', 'The Best Man', 'Outlaw King', 'The Wall', 'A Million Little Pieces', ""The King's Man"", 'Godzilla: Force of Nature', 'Tenet', 'Bullet Train']","[23483.0, 48946.0, 82525.0, 59859.0, 96724.0, 99861.0, 100402.0, 73873.0, 340666.0, 1094319.0, 454227.0, 405775.0, 499566.0, 476669.0, 595645.0, 577922.0, 718930.0]"
Abbie Cornish,37260,1,"Lochinvar, New South Wales, Australia",41.0,"['Candy', ""Legend of the Guardians: The Owls of Ga'Hoole"", 'W.E.', 'Limitless', 'Seven Psychopaths', 'Solace', 'Geostorm', 'Lavender', '6 Days', 'Out & Around', 'The Girl Who Invented Kissing', 'Three Billboards Outside Ebbing, Missouri', 'Where Hands Touch', 'Paris Song', 'The Virtuoso', 'Dakota']","[410597.0, 41216.0, 80591.0, 51876.0, 86838.0, 339527.0, 274855.0, 340584.0, 347984.0, 355191.0, 369914.0, 359940.0, 426618.0, 542082.0, 808023.0, 955740.0]"
Abigail Breslin,17140,1,"New York City, New York, USA",28.0,"['Quantum Quest: A Cassini Space Odyssey', ""New Year's Eve"", 'Rango', ""Ender's Game"", 'Janie Jones', 'August: Osage County', 'Haunter', 'Perfect Sisters', 'Wicked Blood', 'Final Girl', 'Maggie', 'Yamasong: March of the Hollows', 'Fear, Inc.', 'Freak Show', 'Dirty Dancing', 'Zambezia', 'Zombieland: Double Tap', 'Stillwater', 'The Happy Days of Garry Marshall', 'The Paley Center Salutes Law & Order: SVU', 'Slayers', ""Miranda's Victim"", 'Living with Chucky']","[23738.0, 62838.0, 44896.0, 80274.0, 73700.0, 152737.0, 166271.0, 206192.0, 256740.0, 277558.0, 287424.0, 339549.0, 392058.0, 440424.0, 444902.0, 133931.0, 338967.0, 616651.0, 705088.0, 862737.0, 888097.0, 980816.0, 926762.0]"
Abigail Spencer,123725,1,"Gulf Breeze, Florida, USA",42.0,"['In My Sleep', 'Oz the Great and Powerful', 'Cowboys & Aliens', 'Chasing Mavericks', 'This Means War', 'The Haunting in Connecticut 2: Ghosts of Georgia', 'Kilimanjaro', 'This Is Where I Leave You', 'A Beautiful Now', 'H8RZ', 'The Forger', 'The Heyday of the Insensitive Bastards', 'The Sweet Life', 'Buttons', 'Burning Love']","[40048.0, 68728.0, 49849.0, 82684.0, 59962.0, 150202.0, 172819.0, 239678.0, 344491.0, 348955.0, 255157.0, 333033.0, 401484.0, 570556.0, 1135011.0]"
Adam Arkin,55257,2,"Brooklyn, New York City, New York, USA",67.0,"['Summer Eleven', 'Tell-Tale', 'In Security', '10 Cent Pistol', 'Just Peck', 'The Sessions', 'Pig']","[62984.0, 162880.0, 262866.0, 346592.0, 39773.0, 113947.0, 635731.0]"
Adam Baldwin,2059,2,"Chicago, Illinois, USA",62.0,"['Serenity', 'InSight', 'Browncoats Unite: Firefly 10th Anniversary Special', 'The Legend of 5 Mile Cave', 'American Underdog', 'War of the Worlds: Goliath']","[452832.0, 77874.0, 143216.0, 569805.0, 673309.0, 256601.0]"
