Author,Community,Degree
https://openalex.org/A5071165387,0,60
https://openalex.org/A5015770363,1,18
https://openalex.org/A5058700879,2,12
https://openalex.org/A5013262618,3,35
https://openalex.org/A5046475081,4,18
https://openalex.org/A5025141355,5,16
https://openalex.org/A5049607869,6,61
https://openalex.org/A5030406488,7,2
https://openalex.org/A5071988241,8,8
https://openalex.org/A5001227032,9,65
https://openalex.org/A5041680508,10,31
https://openalex.org/A5082205147,11,11
https://openalex.org/A5081614562,12,14
https://openalex.org/A5040523461,94,98
https://openalex.org/A5040468715,14,59
https://openalex.org/A5081982677,15,30
https://openalex.org/A5032934166,16,6
https://openalex.org/A5013535058,17,3
https://openalex.org/A5054707908,18,27
https://openalex.org/A5035210768,15,25
https://openalex.org/A5073407639,20,10
https://openalex.org/A5034213821,21,0
https://openalex.org/A5032278939,25,5
https://openalex.org/A5067907907,8,8
https://openalex.org/A5009825542,4,31
https://openalex.org/A5073961643,0,41
https://openalex.org/A5038390320,24,70
https://openalex.org/A5015311126,1,18
https://openalex.org/A5015711710,25,44
https://openalex.org/A5057490932,109,80
https://openalex.org/A5082225935,27,60
https://openalex.org/A5076193392,28,38
https://openalex.org/A5029483412,29,82
https://openalex.org/A5011035455,30,22
https://openalex.org/A5028631384,31,2
https://openalex.org/A5007282319,32,45
https://openalex.org/A5055710645,18,127
https://openalex.org/A5009232244,32,104
https://openalex.org/A5068819495,2,34
https://openalex.org/A5080472003,31,18
https://openalex.org/A5007187227,33,38
https://openalex.org/A5055848169,34,0
https://openalex.org/A5061923992,10,61
https://openalex.org/A5037146201,15,18
https://openalex.org/A5049920688,35,39
https://openalex.org/A5044881481,52,39
https://openalex.org/A5076683363,37,71
https://openalex.org/A5034372799,38,100
https://openalex.org/A5014437029,39,6
https://openalex.org/A5056467893,16,24
https://openalex.org/A5087601816,4,15
https://openalex.org/A5070908319,4,25
https://openalex.org/A5049445164,40,9
https://openalex.org/A5071773542,6,16
https://openalex.org/A5002809454,15,28
https://openalex.org/A5044033087,17,100
https://openalex.org/A5029882049,41,41
https://openalex.org/A5017914184,0,145
https://openalex.org/A5012700152,42,5
https://openalex.org/A5051642685,4,18
https://openalex.org/A5065944706,43,0
https://openalex.org/A5014466973,1,49
https://openalex.org/A5067625837,41,46
https://openalex.org/A5074208278,3,4
https://openalex.org/A5068508539,18,54
https://openalex.org/A5091756384,44,40
https://openalex.org/A5060904065,15,35
https://openalex.org/A5031279419,12,22
https://openalex.org/A5004427266,14,7
https://openalex.org/A5043986756,32,2
https://openalex.org/A5088539840,32,64
https://openalex.org/A5037234320,45,61
https://openalex.org/A5053938061,30,53
https://openalex.org/A5004281470,41,37
https://openalex.org/A5064437896,40,31
