actor,community,degree
50 Cent,0,21
A.J. Cook,1,0
AJ Raval,2,1
Aamir Khan,3,6
Aaron Eckhart,4,21
Aaron Kwok,5,9
Aaron Moten,6,0
Aaron Paul,0,23
Aaron Taylor-Johnson,7,16
Abbey Lee,4,4
Abbie Cornish,8,7
Abigail Breslin,4,12
Abigail Cowen,9,0
Abigail Hawk,10,1
Abigail Spencer,11,1
Adam Arkin,12,0
Adam Baldwin,13,0
Adam Brody,8,31
Adam Copeland,14,12
Adam DiMarco,15,6
Adam Driver,16,49
Adam Godley,0,1
Adam Goldberg,8,1
Adam J. Harrington,17,0
Adam Rodriguez,18,3
Adam Sandler,11,71
Adam Scott,11,40
Adam West,10,24
Adam Wingard,0,1
Adan Canto,0,1
Addison Timlin,19,0
Adeel Akhtar,16,12
Adelaide Kane,20,1
Adelayo Adedayo,21,0
Adewale Akinnuoye-Agbaje,4,3
Aditi Rao Hydari,3,1
Adria Arjona,22,2
Adrian Lukis,23,0
Adrian Martinez,11,10
Adrian Pasdar,10,2
Adrian Paul,24,0
Adrian Scarborough,4,4
Adriane Lenox,25,0
Adrianne Palicki,0,7
Adriano Celentano,26,0
Adrien Brody,0,35
Adrienne Barbeau,18,5
Adèle Exarchopoulos,7,13
Adèle Haenel,7,7
Afra Saraçoğlu,28,0
Agata Buzek,29,0
Agnieszka Grochowska,30,0
Ahn Bo-hyun,31,0
Ahn So-hee,32,3
Ai Kayano,33,59
Ai Yoshikawa,34,0
Aida Turturro,35,0
Aidan Gallagher,22,7
Aidan Gillen,14,13
Aidan McArdle,36,0
Aidan Quinn,37,4
Aimee Garcia,38,0
Aimee Lou Wood,39,0
Aimee-Ffion Edwards,40,3
Aisha Hinds,10,2
Aishwarya Rai Bachchan,3,5
Aitana Sánchez-Gijón,41,1
Ajay Devgan,3,13
Akari Kito,33,12
Akemi Okamura,33,26
Aki Toyosaki,33,33
Akio Otsuka,33,60
Akira Ishida,33,60
Akira Kamiya,33,5
Akira Nakao,42,1
Akira Toriyama,43,0
Akshay Kumar,3,17
Al Pacino,0,38
Al Sapienza,7,2
Alain Chabat,41,2
Alain Delon,41,4
Alaina Huffman,44,0
Alan Alda,0,2
Alan Arkin,40,4
Alan Cumming,10,22
Alan Ford,4,1
Alan Oppenheimer,11,3
Alan Rickman,16,34
Alan Ritchson,0,6
