name
Lili Miao
Orsolya Vasarhelyi
Elias Fernández Domingos
Andreia Sofia Teixeira
Valentin Pauli
Salvatore Vilella
Damiano Morando
Fatima Alqabandi
Tim Althoff
Ourania Kolokotroni
Morten Mørup
Kellner Aniko
Bruno Lepri
Daniela Perrotta
Sam Zhang
Marc Keuschnigg
Fabio Giglietto
Dan Dai
Veronika Batzdorfer
Marco De Nadai
Ranadheer Malla
Frank Pantano
Mirta Galesic
Kevin Munger
Hasan Alp Boz
Giorgio Tripodi
Suyash Fulay
PJ Lamberson
Seong-Min Jun
Debora Nozza
Genki Ichinose
Michel Dubois
Erkan Gunes
Lian van der Krieke
Fausto Giunchiglia
Ohhyun Kwon
Sandro Lera
Wenna Chen
Marcelo Silva
Ian Barnett
Dustin Wright
Caroline C. Murray
Vasanth Sarathy
Bennard Doornbos
Xinran Wang
Michele Tizzoni
Navya Suri
Sukrit Venkatagiri
Jacob Beck
Shima Saniei
Jevin West
Fabrizio Gilardi
Jake M. Hofman
Aliakbar Akbaritabar
D. Sunshine Hillygus
Ke Li
Lui Ruck
Moena Hashimoto
Angelita Repetto
Alexandros Gelastopoulos
Bahador Bahrami
Ziv Epstein
Saeedeh Mohammadi
Luigi Arminio
Pádraig Mac Carron
Erjian Liu
Sky CH-Wang
Akira Tsurushima
Shelby Grossman
Christine Vega Pourheydarian
Xinyi Wang
Matthew Bramwell Bone
Viktoria Spaiser
Gianmarco De Francisci Morales
Michael Roth
Ashlyn B. Aske
Emil Bakkensen Johansen
Sam Wolken
Chloe Eggleston
Yoshi Meke Bird
Abdullah Zameek
Letizia Iannucci
Dafna Yavetz
Jason Hiigh Thompson
salvatore Citraro
Christoph Stadtfeld
Amy Smith
Tongyu Ding
Abeer ElBahrawy
Niel Hens
Shintaro Ueki
Luca Rossi
Matthew Donald Sweitzer
Xindi Wang
Floriana Gargiulo
Michael Inzlicht
Melissa J Dreier
Lauren Brent
Toshiharu Sugawara
Paul Salmon
Luiz Neves
Sahil Verma
Alice Grishchenko
Diana Roig Sanz
Neil Fasching
Corine Meppelink
Makoto Mizuno
Shunyuan Zhang
Louis M Shekhtman
Christian Almenar
Martin Gerlach
Omar Guerrero
Lisette Espin Noboa
Akira Hashimoto
Gabriele Etta
Ray Funahashi
Pieter Simoens
Anna Mancini
Clodomir Santana
Sanja Šćepanović
Pu Yan
Ronaldo Menezes
Salim Chouaki
Jiliang Tang
Sandor Juhasz
Sean P. Rogers
Kongmeng Liew
Manoel Ribeiro
Byungkyu Lee
Karthikeya Kaushik
Rupert Tibor Kiddle
Robert Gordon Rinderknecht
Alejandro Dinkelberg
Cynthia Rudin
Fons Rademakers
James P Houghton
Bernardo Garcia Bulle Bueno
Frederik Andersen
Galen Stocking
Frank Neffke
Marios Constantinides
Selim Balcisoy
Jose Miguel Cordova
Jacopo D'Ignazi
Hendrik Erz
Carolina Coimbra Vieira
Mikko Kivelä
Pearl Pandya
Munjung Kim
Daniele Rama
Arnout van de Rijt
Simone Santoni
Zeyu Lyu
Julian Polenz
Jinjun Xiong
Alice Xiang
Alessandro Flamini
Wen Hao HE
Shayne Longpre
Eugenio Valdano
Jorge Gil
Tony Carden
Brennan Klein
Qi Wang
David Rothschild
Li Zhang
Chao Yu
Takaharu Saito
Nicolò Pagan
Armin Pournaki
Daniela Valdes
Laurence Brandenberger
Peter Meylakhs
Yan Asadchy
Mitsuo Yoshida
Niyati Malhotra
Likun Cao
Dashun Wang
Jan Nikadon
Michael Szell
Darya Zare
Filippo Privitera
Laura Boeschoten
Sven Banisch
Nail Furkan Bashan
Lynn Smith-Lovin
Valeria D'Andrea
Hui Wang
Shilad Sen
Juan Carlos Rocha
Piyush Ghasiya
Lama Abdulrahman Alqazlan
franco scarselli
Philipp Lorenz-Spreen
Emma Spiro
Melanie Oyarzun
Xiaohui WANG
Sander van der Linden
Simone Paolo Ponzetto
Nikolaos Nakis
Frauke Kreuter
Giulia De Pasquale
Elisabet CarbÃ³ Catalan
Qingtao Cao
Zaid Al-Ars
Charalampos Saitis
Athina Anastasiadou
Chiara Chiavenna
Maria Zens
Jonathan Cohen
Fujio Toriumi
Mohammad Atari
Brian Uzzi
Jinseo Park
Arttu Malkamäki
Kishore Vasan
Alessandro Gambetti
Stefan Sarkadi
Nick Obradovich
Brenda Curtis
Silvia Leoni
Aidan Combs
Boleslaw K. Szymanski
Etienne Ollion
Karmanya Aggarwal
Masanori Hirano
Fosca Giannotti
Gabriella Harari
Ezzat Elokda
Chung-Kon Shi
Ahmed Nasser Mostafa
Uttama Barua
Sahil Loomba
Mikiko Shimaoka
Jörg Claussen
Vera Sosnovik
Henrik Wolf
Richard Freedman
James Michelson
Sarah Grobe
Huma Rasheed
Lion Wedel
Jia Lin Cheoh
Adam Frank
Christopher I Jarvis
Federico Zimmerman
Varun Tandon
Johann Schaible
Kelton R Minor
Federico Pilati
Cassidy R. Sugimoto
Alan Paul Kwan
José Ignacio Alvarez-Hamelin
Veniamin Veselovsky
Tao Jia
John W Edmunds
Kelton Minor
Elizaveta Chernenko
Woo-sung Jung
Matteo Montecchi
Belén C Saldías Fuentes
Alexandra Rottenkolber
Samuel Woolley
Juergen Lerner
Mohammadhadi Aliahmadi
Michał Olech
Nicole Nisbett
Dongwoo Lim
Louis Boucherie
Jonas L Juul
Jari Saramäki
Talal Rahwan
Molly Crockett
Tamara Yaikin
Alina Herderich
Emily L Wang
Justyna Czestochowska
Aidar Zinnatullin
Jaehyuk Park
Fátima Velásquez-Rojas
Lea Biere
Ardon Z. Shorr
Michele Starnini
Marton Karsai
Francesco Tudisco
Shunichi Kasahara
Fengyuan Michael Liu
Yizhou Fan
Alice Battiston
Hyejin Youn
Roberta Sinatra
Federico Mazzoni
Haewoon Kwak
Wanqi Hu
Thomas Talhelm
Yuri Nakayama
Marius Sältzer
Luca Pappalardo
Spencer Poodiack Parsons
Ming-Hung Wang
Laila Wegner
Daniel Torren Peraire
Diogo Pacheco
Coen D Needell
Francesco Barbieri
Rense Corten
Giulio Rossetti
Iyad Rahwan
Matteo Cinelli
Anne Cathrine Linder
Andrew Lippman
Keiichiro Tsukamoto
Pablo Balenzuela
Carlo Valensise
Gabriele Santin
Xiao Zhang
James Winters
Eckehard Olbrich
Jon Kleinberg
Savvas Zannettou
Seongwoon Kim
Marco Pangallo
Sam Heroy
Kaixiang Kang
Francisco Olivos
Michelangelo Rossi
Leonardo Castro-Gonzalez
K. Hunter Wapman
Hillel Rapoport
Paolo Bajardi
Ashton Anderson
Lejla Dzanko
Trevor James Swanson
Kristian Peter Lorenzen
Yang Wang
Timothy Douglas
Dingeman Jan Van der Laan
Sacha Epskamp
Joanna Bryson
Stefan Wuchty
Kristoffer Lind Glavind
Neville Stanton
Ibrahim Farouq
Isabelle Langrock
Katharina Burgdorf
Jana Lasser
Tzu-Chi Yen
Miquel Montero
Ophelia Deroy
Francisco Barreras
Renaud Lambiotte
Silke Adam
Victor Galaz
Tiancheng Hu
Xiaowen Dong
Allison Christine Morgan
Abdulkadir Celikkanat
Nicola Pedreschi
Elohim Fonseca dos Reis
Zoe Rahwan
David Garcia
Janet B. Pierrehumbert
Mykola Makhortykh
Bradley Spahn
