id,publication_year,cited_by_count,authors
https://openalex.org/W1989597713,2009,780,"['https://openalex.org/A5071165387', 'https://openalex.org/A5009663125']"
https://openalex.org/W2726248338,2017,668,"['https://openalex.org/A5033639139', 'https://openalex.org/A5087005512', 'https://openalex.org/A5064748489', 'https://openalex.org/A5014587310', 'https://openalex.org/A5044061507', 'https://openalex.org/A5091272738']"
https://openalex.org/W2142604507,2012,500,"['https://openalex.org/A5033887103', 'https://openalex.org/A5071165387', 'https://openalex.org/A5054159576', 'https://openalex.org/A5018493743', 'https://openalex.org/A5014088619']"
https://openalex.org/W2954226438,2019,464,"['https://openalex.org/A5071473719', 'https://openalex.org/A5029663653', 'https://openalex.org/A5005702955', 'https://openalex.org/A5032463780', 'https://openalex.org/A5024664329', 'https://openalex.org/A5063405831', 'https://openalex.org/A5053947754', 'https://openalex.org/A5081333735']"
https://openalex.org/W2583638605,2016,412,"['https://openalex.org/A5033639139', 'https://openalex.org/A5076259865', 'https://openalex.org/A5043228682']"
https://openalex.org/W2750144484,2017,334,"['https://openalex.org/A5048877432', 'https://openalex.org/A5013727792', 'https://openalex.org/A5013844034', 'https://openalex.org/A5067118505', 'https://openalex.org/A5052308997']"
https://openalex.org/W2133255502,2009,304,"['https://openalex.org/A5071165387', 'https://openalex.org/A5014088619', 'https://openalex.org/A5002330321']"
https://openalex.org/W2007827489,2010,261,"['https://openalex.org/A5071165387', 'https://openalex.org/A5014088619']"
https://openalex.org/W1999077228,2010,238,"['https://openalex.org/A5014088619', 'https://openalex.org/A5071165387']"
https://openalex.org/W2964262738,2016,187,"['https://openalex.org/A5033639139', 'https://openalex.org/A5049064405', 'https://openalex.org/A5091272738']"
https://openalex.org/W2128338591,2014,185,"['https://openalex.org/A5003031572', 'https://openalex.org/A5048877432', 'https://openalex.org/A5082391569', 'https://openalex.org/A5013727792', 'https://openalex.org/A5030305033', 'https://openalex.org/A5089685693']"
https://openalex.org/W2163252504,2014,175,"['https://openalex.org/A5013072270', 'https://openalex.org/A5053549488']"
https://openalex.org/W2096309085,2014,171,"['https://openalex.org/A5003031572', 'https://openalex.org/A5048877432', 'https://openalex.org/A5067748867', 'https://openalex.org/A5030305033', 'https://openalex.org/A5067118505']"
https://openalex.org/W3131154112,2021,110,"['https://openalex.org/A5054519023', 'https://openalex.org/A5048132210', 'https://openalex.org/A5049918895', 'https://openalex.org/A5027079032', 'https://openalex.org/A5071165387', 'https://openalex.org/A5014647140']"
https://openalex.org/W2948756736,2019,105,"['https://openalex.org/A5064748489', 'https://openalex.org/A5033639139', 'https://openalex.org/A5087005512', 'https://openalex.org/A5045969229', 'https://openalex.org/A5069932474', 'https://openalex.org/A5032035644', 'https://openalex.org/A5091272738', 'https://openalex.org/A5044061507']"
https://openalex.org/W4317757464,2023,42,"['https://openalex.org/A5049659945', 'https://openalex.org/A5061686151', 'https://openalex.org/A5024810938', 'https://openalex.org/A5021605006', 'https://openalex.org/A5033639139']"
https://openalex.org/W1982524534,2006,256,"['https://openalex.org/A5059840085', 'https://openalex.org/A5018292103', 'https://openalex.org/A5087111784', 'https://openalex.org/A5069893226', 'https://openalex.org/A5066014869']"
https://openalex.org/W2028318746,2007,206,"['https://openalex.org/A5009663125', 'https://openalex.org/A5071165387', 'https://openalex.org/A5030805884']"
https://openalex.org/W2082834741,2010,199,['https://openalex.org/A5071165387']
https://openalex.org/W2114851745,2009,171,"['https://openalex.org/A5014088619', 'https://openalex.org/A5071165387']"
https://openalex.org/W2099115593,2010,160,"['https://openalex.org/A5014088619', 'https://openalex.org/A5071165387', 'https://openalex.org/A5002330321']"
https://openalex.org/W2105085692,2008,159,"['https://openalex.org/A5071165387', 'https://openalex.org/A5037695214', 'https://openalex.org/A5022967411', 'https://openalex.org/A5028869415']"
https://openalex.org/W1986714255,2008,151,"['https://openalex.org/A5030305033', 'https://openalex.org/A5049079205', 'https://openalex.org/A5054906154', 'https://openalex.org/A5048877432', 'https://openalex.org/A5007138994']"
https://openalex.org/W2108837778,2008,149,"['https://openalex.org/A5059840085', 'https://openalex.org/A5018292103', 'https://openalex.org/A5066014869']"
https://openalex.org/W2130815877,2012,144,"['https://openalex.org/A5082391569', 'https://openalex.org/A5048877432', 'https://openalex.org/A5048232579', 'https://openalex.org/A5030305033', 'https://openalex.org/A5027171279', 'https://openalex.org/A5067118505']"
https://openalex.org/W2066152741,2010,117,"['https://openalex.org/A5014088619', 'https://openalex.org/A5071165387']"
https://openalex.org/W2001081968,2011,107,"['https://openalex.org/A5047724274', 'https://openalex.org/A5048877432', 'https://openalex.org/A5007176508']"
https://openalex.org/W1951757437,2015,104,"['https://openalex.org/A5003031572', 'https://openalex.org/A5048877432', 'https://openalex.org/A5082391569', 'https://openalex.org/A5013844034', 'https://openalex.org/A5013727792', 'https://openalex.org/A5030305033', 'https://openalex.org/A5067118505']"
https://openalex.org/W4300990168,2016,97,"['https://openalex.org/A5081236916', 'https://openalex.org/A5082391569', 'https://openalex.org/A5057136388', 'https://openalex.org/A5027171279', 'https://openalex.org/A5081008532', 'https://openalex.org/A5048877432']"
https://openalex.org/W2150840440,2012,92,"['https://openalex.org/A5013072270', 'https://openalex.org/A5069257022', 'https://openalex.org/A5076108750']"
https://openalex.org/W2149923164,2014,90,"['https://openalex.org/A5028792261', 'https://openalex.org/A5073545350', 'https://openalex.org/A5002417952', 'https://openalex.org/A5034721063', 'https://openalex.org/A5017992738']"
https://openalex.org/W2612845683,2017,88,"['https://openalex.org/A5059607114', 'https://openalex.org/A5048153913', 'https://openalex.org/A5003132689', 'https://openalex.org/A5025497120', 'https://openalex.org/A5066824370', 'https://openalex.org/A5028792261', 'https://openalex.org/A5034721063', 'https://openalex.org/A5087751292']"
https://openalex.org/W1868427966,2015,86,"['https://openalex.org/A5033639139', 'https://openalex.org/A5091272738']"
https://openalex.org/W2028979196,2015,85,"['https://openalex.org/A5082732256', 'https://openalex.org/A5073916921', 'https://openalex.org/A5048877432', 'https://openalex.org/A5065059558']"
https://openalex.org/W2968972313,2019,84,"['https://openalex.org/A5040821848', 'https://openalex.org/A5074129504', 'https://openalex.org/A5044130443', 'https://openalex.org/A5017222566', 'https://openalex.org/A5071422618', 'https://openalex.org/A5071165387']"
https://openalex.org/W2003950529,2014,83,"['https://openalex.org/A5019996096', 'https://openalex.org/A5007465102', 'https://openalex.org/A5048877432']"
https://openalex.org/W2409848655,2016,83,"['https://openalex.org/A5023075601', 'https://openalex.org/A5071165387']"
https://openalex.org/W2298588541,2016,76,"['https://openalex.org/A5048877432', 'https://openalex.org/A5082391569', 'https://openalex.org/A5075956753', 'https://openalex.org/A5030305033', 'https://openalex.org/A5067118505']"
https://openalex.org/W3104982372,2020,67,"['https://openalex.org/A5049659945', 'https://openalex.org/A5024810938', 'https://openalex.org/A5021605006', 'https://openalex.org/A5033639139']"
https://openalex.org/W2913802893,2019,62,"['https://openalex.org/A5058700879', 'https://openalex.org/A5083043810', 'https://openalex.org/A5071769816']"
https://openalex.org/W3145119645,2021,62,"['https://openalex.org/A5058033787', 'https://openalex.org/A5088448789', 'https://openalex.org/A5048877432', 'https://openalex.org/A5079596102']"
https://openalex.org/W2940421692,2019,60,"['https://openalex.org/A5013072270', 'https://openalex.org/A5057744216', 'https://openalex.org/A5073517348', 'https://openalex.org/A5069257022']"
https://openalex.org/W2769252714,2019,55,"['https://openalex.org/A5016292975', 'https://openalex.org/A5015770363', 'https://openalex.org/A5004136982']"
https://openalex.org/W3010968540,2020,54,"['https://openalex.org/A5013072270', 'https://openalex.org/A5019723817', 'https://openalex.org/A5069257022', 'https://openalex.org/A5073372813']"
https://openalex.org/W3119968360,2021,53,"['https://openalex.org/A5081866454', 'https://openalex.org/A5048877432', 'https://openalex.org/A5089242677', 'https://openalex.org/A5047982506']"
https://openalex.org/W3094101919,2020,48,"['https://openalex.org/A5015770363', 'https://openalex.org/A5017976036']"
https://openalex.org/W3173730528,2021,39,"['https://openalex.org/A5013670125', 'https://openalex.org/A5041732716', 'https://openalex.org/A5073459923', 'https://openalex.org/A5064437896', 'https://openalex.org/A5015770363', 'https://openalex.org/A5084279765', 'https://openalex.org/A5066493067']"
https://openalex.org/W3134165704,2021,38,"['https://openalex.org/A5048877432', 'https://openalex.org/A5013727792', 'https://openalex.org/A5067118505']"
https://openalex.org/W3154272574,2021,38,"['https://openalex.org/A5049659945', 'https://openalex.org/A5061686151', 'https://openalex.org/A5024810938', 'https://openalex.org/A5021605006', 'https://openalex.org/A5033639139']"
https://openalex.org/W3176348367,2021,38,"['https://openalex.org/A5071165387', 'https://openalex.org/A5052099873', 'https://openalex.org/A5090030525', 'https://openalex.org/A5004774200', 'https://openalex.org/A5038390320', 'https://openalex.org/A5016057473', 'https://openalex.org/A5038488889', 'https://openalex.org/A5067567133', 'https://openalex.org/A5023753116']"
https://openalex.org/W3152591339,2021,37,"['https://openalex.org/A5028901479', 'https://openalex.org/A5070069894', 'https://openalex.org/A5004892784', 'https://openalex.org/A5028327260', 'https://openalex.org/A5024491455', 'https://openalex.org/A5000465689', 'https://openalex.org/A5086453253']"
https://openalex.org/W4200568363,2021,37,"['https://openalex.org/A5027019842', 'https://openalex.org/A5017040952', 'https://openalex.org/A5068819495', 'https://openalex.org/A5059223686', 'https://openalex.org/A5075228752', 'https://openalex.org/A5048877432', 'https://openalex.org/A5081236916']"
https://openalex.org/W3131324121,2021,34,"['https://openalex.org/A5032463780', 'https://openalex.org/A5029837480', 'https://openalex.org/A5005702955', 'https://openalex.org/A5065845420', 'https://openalex.org/A5061496529']"
https://openalex.org/W2138216903,2009,88,"['https://openalex.org/A5071165387', 'https://openalex.org/A5002330321', 'https://openalex.org/A5085423155']"
https://openalex.org/W2095141632,2008,86,"['https://openalex.org/A5059840085', 'https://openalex.org/A5018292103', 'https://openalex.org/A5066014869', 'https://openalex.org/A5050794507', 'https://openalex.org/A5032991538']"
https://openalex.org/W1994745305,2011,84,"['https://openalex.org/A5023735760', 'https://openalex.org/A5049079205', 'https://openalex.org/A5048877432', 'https://openalex.org/A5030305033', 'https://openalex.org/A5027171279']"
https://openalex.org/W2117241805,2012,84,"['https://openalex.org/A5048877432', 'https://openalex.org/A5089971631', 'https://openalex.org/A5039448366', 'https://openalex.org/A5082391569', 'https://openalex.org/A5030305033', 'https://openalex.org/A5027171279']"
https://openalex.org/W2117117528,2012,77,"['https://openalex.org/A5071165387', 'https://openalex.org/A5016057473', 'https://openalex.org/A5057803453']"
https://openalex.org/W2131733173,2011,77,"['https://openalex.org/A5042498941', 'https://openalex.org/A5058700879', 'https://openalex.org/A5008077931']"
https://openalex.org/W1649443842,2012,73,"['https://openalex.org/A5077163579', 'https://openalex.org/A5071165387']"
https://openalex.org/W2139980505,2013,68,"['https://openalex.org/A5028792261', 'https://openalex.org/A5002417952', 'https://openalex.org/A5030333660', 'https://openalex.org/A5073545350', 'https://openalex.org/A5034721063', 'https://openalex.org/A5017992738']"
https://openalex.org/W2068689371,2014,64,"['https://openalex.org/A5075956753', 'https://openalex.org/A5011229206', 'https://openalex.org/A5048877432', 'https://openalex.org/A5067118505']"
https://openalex.org/W1571176688,2015,63,"['https://openalex.org/A5000683102', 'https://openalex.org/A5071165387', 'https://openalex.org/A5014088619']"
https://openalex.org/W2016241164,2012,63,"['https://openalex.org/A5014088619', 'https://openalex.org/A5071165387']"
https://openalex.org/W1976692960,2014,61,"['https://openalex.org/A5019996096', 'https://openalex.org/A5048877432', 'https://openalex.org/A5024965983', 'https://openalex.org/A5012965551', 'https://openalex.org/A5062879885', 'https://openalex.org/A5030305033']"
https://openalex.org/W2762961466,2017,61,"['https://openalex.org/A5078789709', 'https://openalex.org/A5023667387', 'https://openalex.org/A5042122864', 'https://openalex.org/A5023058682', 'https://openalex.org/A5020782361', 'https://openalex.org/A5026163142']"
https://openalex.org/W2329258917,2016,59,"['https://openalex.org/A5003031572', 'https://openalex.org/A5048877432', 'https://openalex.org/A5057136388', 'https://openalex.org/A5051374361', 'https://openalex.org/A5030305033', 'https://openalex.org/A5067118505']"
https://openalex.org/W2899928148,2018,56,"['https://openalex.org/A5048165961', 'https://openalex.org/A5015770363', 'https://openalex.org/A5032538899', 'https://openalex.org/A5072046918']"
