community,actor,degree
8,Samuel L. Jackson,184
8,Stan Lee,142
8,Benedict Cumberbatch,132
8,Paul Rudd,122
8,Scarlett Johansson,111
17,Dave Bautista,93
17,Vin Diesel,83
17,Helen Mirren,75
17,Dwayne Johnson,73
17,Kurt Russell,52
19,Harrison Ford,95
19,Mark Hamill,85
19,Liam Neeson,79
19,Oscar Isaac,65
19,Adam Driver,49
31,Fred Tatasciore,129
31,Tara Strong,120
31,Dee Bradley Baker,106
31,Carlos Alazraqui,105
31,Grey DeLisle,101
43,Hiroshi Kamiya,86
43,Miyuki Sawashiro,84
43,Tomokazu Seki,82
43,Yuki Kaji,82
43,Takahiro Sakurai,80
54,Ryunosuke Kamiki,24
54,Yuki Yamada,22
54,Naoto Takenaka,21
54,Shun Oguri,20
54,Lily Franky,18
57,Ralph Fiennes,96
57,Helena Bonham Carter,66
57,David Thewlis,65
57,Domhnall Gleeson,60
57,Emma Thompson,54
153,Cate Blanchett,86
153,Awkwafina,35
153,Ian McKellen,35
153,Martin Freeman,34
153,Stephen Fry,34
193,Lee Kyung-young,42
193,Ma Dong-seok,39
193,Jo Han-chul,24
193,Yoo Hai-jin,23
193,Hyun Bong-sik,19
