name
Hugo Subtil
Frederik Riedel
Petter Holme
Marilena Hohmann
Guilherme Lichand
Allison Koenecke
Li Liao
Linda Coufal
Lynn Smith-Lovin
Stasa Milojevic
Chanuwas Aswamenakul
Matija Franklin
Marie Urban
Simon Colton
Sahil Chinoy
Hywel T.P. Williams
Bruno Lepri
Guangnan Zhu
Marta Gonzalez
Nils Christopher Köbis
Stefan Sarkadi
Federico Zimmerman
Samuel Woolley
Rodger Richer
Zishan Lan
Artem Volgin
Damin Lee
Guillaume Cabanac
Giuseppe Russo
Pearl Pandya
Fabián Aguirre-López
Benjamin C Holding
Cheng Pan
Jesse Piburn
Simon Martin Breum
Pier Luigi Sacco
Babak Heydari
Giona Casiraghi
Laurel Bobrow
Ichiro Sakata
Xiaoran Yan
Masashi Toyoda
Pietro Coletti
Matteo Palmonari
Sean Kelty
Sam Wolken
Yu-Yao Tseng
Tenzin Tamang
Paolo Bajardi
Otto Kässi
Sandro Lera
Marcos Oliveira
Yotaro Takazawa
Saurabh Khanna
Dan Jurafsky
Mateusz Nurek
Dylan Connor
Qiankun Zhong
Miguel A González Casado
Benjamin J Radford
Ezzat Elokda
Maciej J. Dańko
Arttu Malkamäki
Roland Toth
David Lagnado
Giovanni Mauro
Kathyrn R Fair
Helena Sophia Rauxloh
Douglas Richard Guilbeault
Benedikt Ströbl
Isabela Inês
Shahan Ali Memon
Yasuhiro Suzuki
Moena Hashimoto
Kristen Engel
Gemma Read
Christoph Kern
Chao Yu
Brenda Curtis
Michał Olech
Belén C Saldías Fuentes
Jelena Grujić
Alexander Sobieska
Samantha Vanderslott
Stephen Davies
Christian Czymara
Lorenzo Lucchini
Levin Brinkmann
Mykola Makhortykh
Melissa J Dreier
Ivano Bison
Francesco Barbieri
Armin Pournaki
Priscila Alvarez-Cueva
Frank Berthold
Sahil Loomba
James Bagrow
Renzhe Yu
Jonathan Cohen
James Michelson
Elias Najarro
Harsh Parikh
Tuomas Ylä-Anttila
Sandro Ferreira Sousa
Lucía Pedraza
Robert Mahari
Jeroen Jonkman
Max Falkenberg
Jacob R Brown
Jan Engler
Lu Sun
Floriana Gargiulo
Camille Testard
Bedoor Alshebli
Jorge Gil
Jon Kleinberg
Neil A. Tenenholtz
Shoko Wakamiya
Gregorio López
David Page
Rémi Suchonn
Lisa Green
Luca Maria Aiello
Piyush Ghasiya
Jinjun Xiong
Matthew Bramwell Bone
Anne Kroon
Nicholas Buttrick
Carolina Coimbra Vieira
Dan Thomsen
Sylvain Fontaine
Charalampos Saitis
Miriam Hurtado Bodell
Pietro Lio
David M Rothschild
Tiziano Piccardi
K. Hunter Wapman
Emilio Zagheni
Matthew Donald Sweitzer
Piotr Bródka
Jan Nikadon
Mahnaz Roshanaei
Tobias Felix Werner
Fabian Braesemann
Timothy Douglas
Linda Li
Srishti Vashistha
Julien Figeac
Ahmed Nasser Mostafa
Xubo Cao
Agnieszka Falenska
Dylan Thurgood
Ralf Kurvers
Antonio Desiderio
Eric Giannella
Inho Hong
Kokil Jaidka
Kerry Wong
Ezequiel Lopez Lopez
Laura Alessandretti
Juniper L Lovato
David Rand
Ashley Francisco
Yan Asadchy
Anna Seo Gyeong Choi
Allison Christine Morgan
Zeyu Lyu
Niccolo Pescetelli
David Jurgens
Victoria Yantseva
Katrin Weller
Juan Carlos Rocha
Aleksandra Urman
Silvia Leoni
Sanne Smith
Bahador Bahrami
Lian van der Krieke
Mariano Gastón Beiró
Fausto Giunchiglia
Johanna Einsiedler
Jia-Ru Song
Eric Dignum
Zexun Chen
Jonathan Zhu
Veronika Batzdorfer
Roeland Dubèl
David Garcia
Nir Grinberg
Samar Haider
Karim Hamade
Jeff T Sheng
Eyal Perry
Tianshu Chen
Ferdinand Le Coz
Mikko Kivelä
Xinyi Wang
Mario L. Small
Amy Dunphy
Bruno Zamengo
Tao Jia
Loreto Bravo
Lorenzo Amir Nemati Fard
Elias Fernández Domingos
Xiaoya Chen
Pantelis P. Analytis
Duncan J. Watts
Maryna Sydorova
Kayla Duskin
Bertram Malle
Woo-sung Jung
Clara Bersch
Zhemeng Xie
Onicio Leal
Elisa Omodei
Qi Wang
Samsun Knight
Niel Hens
Zhixuan Zhou
Bahareh Sarrafzadeh
Filipi Nascimento Silva
Massimiliano Luca
Nick Obradovich
Fátima Velásquez-Rojas
Ruth Elisabeth Appel
Anastasia Karpova
Boleslaw K. Szymanski
Alessia Melegaro
Matthew Edwards
Daniela Valdes
Tom Emery
Renzo Bianchi
Przemyslaw Kazienko
Dimitris Kotzinos
Hamida Seba
Bedoor AlShebli
Carlos Rodriguez
Sander van der Linden
Jon Roozenbeek
Nicholas J Pangakis
Radosław Michalski
Jia Lin Cheoh
Roberta Rocca
Sara Heydari
Vincent Buskens
Javier Alvarez-Galvez
John W Edmunds
Bailey Fosdick
Nate Holers
Shaun Bevan
Pádraig Mac Carron
Douglas Leasure
Spencer Poodiack Parsons
Mohammed Alsobay
Magnus Resch
Jingwen Zhang
Zaid Al-Ars
Andy Berres
Baird Howland
Francesco Silvestri
Yakov Bart
Kyriaki Kalimeri
Kristina Gligoric
Oliver Posegga
Abdullah Zameek
Matt Rocklage
Yan Xia
Daniel Scott Smith
Vincent Pons
Filippo Menczer
Rosalia Steffi Longjam
Kunihiro Miyazaki
Richard Freedman
Becky P.Y. Loo
Remi Emonet
Dafna Yavetz
Christian L Vestergaard
Anna Di Natale
Shintaro Igari
Serena Jimyn Soh
Fabio Carrella
Huiyi Lv
Denis E Hudon
Coen D Needell
Iyad Rahwan
Beibei Li
Jonas Raaschou-Pedersen
Sanjay Kairam
Fredrik Jansson
Ridhi Kashyap
Tina Law
Mohamed Abouelenien
Henrik Wolf
David Axelrod
Carlos Fernandez-Basso
Sara Bonati
Charles Rahal
Yurie Iwata
Aidan Combs
Christiern Santos Rasmussen
Alina Herderich
Michael Matzenberger
Federico Barrera-Lemarchand
Wenna Chen
Caroline C. Murray
Massimo Stella
Viktoria Spaiser
Kellner Aniko
Irmandy Wicaksono
Melvyn Tyloo
Omar Guerrero
Veniamin Veselovsky
Nicolò Gozzi
Vrushabh Vilas Wadnere
Giyeon Baek
Jesús A. Prieto-Alonso
Jesper Wiborg Schneider
Luca Pappalardo
Frederik Andersen
David Mimno
Lester Mackey
Hannah-Marie Büttner
Mario Castro
Markus Strohmaier
Casey Randazzo
Frank Neffke
Vincent Straub
Alex Teytelboym
Michele Tizzani
Lama Abdulrahman Alqazlan
Antonio Bucchiarone
Ian Krajbich
Laura Leone
NAKAO Ran
Lonjezo Dzekedzeke
Rémi Perrier
Leonie Neuhäuser
Adam H. Russell
Lion Wedel
Aaron Schein
Joaquín Navajas
Shintaro Sakai
Anne C Kroon
Francesca Chiaromonte
Shatayu Kulkarni
Victor Landaeta
Sara Venturini
Alba Motes Rodrigo
Silvia De Sojo Caso
Mark E Whiting
Sebastiano Bontorin
Jake M. Hofman
Ahmad Hesam
